,PLAYER,MINS-PLAYED,SHOTS,SOT,GOALS,XG,CHANCES-CREATED,ASSISTS,XA,PASSES,PASS-%,TACKLES-WON,INT,REC,SHOT-ENDING,GOAL-ENDING,CHANCE-CREATING,ASSIST,TOTAL,ATTEMPTS,WIN-%
486,PRZEMYSLAW FRANKOWSKI,240,1,0,0,0.03,1,0,0.15,65,72,4,3,12,0,0,0,0,0,4,50
487,RAFAEL LEÃO,62,5,2,2,0.41,0,0,0.01,32,75,0,1,5,3,1,0,0,4,5,60
488,RAHEEM STERLING,139,1,1,1,0.37,1,1,0.06,48,85,0,1,5,0,0,1,1,2,4,50
489,RAMIN REZAEIAN,180,2,1,1,0.27,1,0,0.41,76,74,5,3,22,2,1,0,0,3,1,100
490,RANDAL KOLO MUANI,90,1,0,0,0.04,0,0,0.02,18,56,3,1,1,1,0,0,0,1,5,40
491,RAPHAËL GUERREIRO,228,2,1,1,0.32,4,2,0.53,125,90,2,3,16,2,1,0,0,3,3,66
492,RAPHAËL VARANE,228,2,0,0,0.28,0,0,0.01,127,90,0,4,9,0,0,0,0,0,1,100
493,RAPHINHA,261,8,6,0,1.21,6,0,0.63,98,83,6,3,7,3,0,2,0,5,15,26
494,RASMUS KRISTENSEN,224,0,0,0,0.00,1,0,0.07,145,79,7,1,15,0,0,0,0,0,5,20
495,RAÚL JIMÉNEZ,56,0,0,0,0.00,0,0,0.03,26,65,0,1,2,0,0,0,0,0,0,0
496,REMO FREULER,324,3,2,1,0.50,0,0,0.05,146,83,5,3,19,0,0,0,0,0,4,0
497,RENATO STEFFEN,31,0,0,0,0.00,0,0,0.07,14,86,0,0,5,0,0,0,0,0,0,0
498,RICARDO HORTA,106,3,2,1,0.76,1,0,0.06,30,77,1,1,5,0,0,0,0,0,0,0
499,RICARDO RODRÍGUEZ,359,0,0,0,0.00,2,0,0.25,182,75,2,0,16,0,0,1,0,1,0,0
500,RICHARLISON,242,7,4,3,2.07,2,0,0.06,41,76,1,1,12,1,0,0,0,1,5,0
501,RICHIE LARYEA,161,2,0,0,0.07,4,0,0.34,45,76,1,0,11,1,0,1,0,2,8,25
502,RILEY MCGREE,269,3,1,0,0.14,3,1,0.21,69,77,1,5,11,2,0,0,0,2,1,0
503,RITSU DOAN,218,4,3,2,0.50,2,0,0.28,44,68,5,3,11,1,0,0,0,1,9,44
504,RIYADH SHARAHILI,53,0,0,0,0.00,1,0,0.01,16,81,0,2,3,0,0,1,0,1,2,50
505,ROAN WILSON,1,0,0,0,0.00,0,0,0.00,4,100,0,0,1,0,0,0,0,0,0,0
506,ROBERT LEWANDOWSKI,360,12,3,1,1.35,5,1,0.45,87,70,2,1,14,2,0,3,1,6,13,38
507,ROBERT SKOV,21,0,0,0,0.00,0,0,0.37,15,100,0,0,2,0,0,0,0,0,1,0
508,ROBERTO ALVARADO,17,0,0,0,0.00,0,0,0.00,7,56,0,0,0,0,0,0,0,0,2,0
509,RODRI,390,1,0,0,0.02,4,0,0.23,676,93,2,3,35,1,0,0,0,1,0,0
510,RODRIGO BENTANCUR,214,3,1,0,0.62,2,0,0.14,150,85,8,7,35,1,0,0,0,1,6,50
511,RODRIGO DE PAUL,360,2,1,0,0.64,4,0,0.27,366,86,4,6,29,0,0,0,0,0,6,0
512,RODRYGO,123,6,2,0,0.44,3,1,0.25,68,82,1,2,5,0,0,1,0,1,7,28
