No.,Player,Apps,Mins,Total,AccLB,InAccLB,AccSP,InAccSP,Rating
511,Exequiel Palacios,3,47,9,-,0.3,8.3,0.3,6.16
512,Bailey Wright,1,16,3,1,1,-,1,6.16
513,Hiroki Ito,1,45,61,5,3,51,2,6.16
514,Juan Foyth,1,4,3,-,-,2,1,6.16
515,Trent Alexander-Arnold,1,33,21,1,1,19,-,6.16
516,Abdessamad Ezzalzouli,3,91,3.7,-,0.3,3,0.3,6.16
517,Daniel-Kofi Kyereh,3,31,6,0.3,-,5.7,-,6.16
518,Mohammed Al Burayk,2,66,20.5,0.5,1,17,2,6.15
519,Alexis Vega,3,196,16.7,0.7,1,12,3,6.15
520,João Palhinha,3,35,10.3,0.3,0.3,8.3,1.3,6.15
521,Anass Zaroury,1,26,10,-,-,8,2,6.15
522,Ante Budimir,2,54,2.5,-,-,1,1.5,6.15
523,Assim Madibo,2,154,35,1,1,28,5,6.15
524,Bamba Dieng,4,98,3.8,-,-,2.3,1.5,6.14
525,Musaab Khidir,1,5,2,1,-,1,-,6.14
526,Karim Ansarifard,2,34,2.5,-,-,2,0.5,6.14
527,Brenden Aaronson,4,105,11.5,-,-,10,1.5,6.13
528,Hassan Al Haydos,3,209,25,1.3,1,19.3,3.3,6.13
529,Issam Jebali,3,184,10.3,0.3,0.3,7.3,2.3,6.13
530,João Mário,2,84,18.5,0.5,-,17.5,0.5,6.13
531,Kellyn Acosta,2,41,6,-,-,5,1,6.13
532,Mattéo Guendouzi,1,79,32,-,1,26,5,6.13
533,Xavi Simons,1,7,10,-,-,6,4,6.13
534,Lautaro Martínez,6,238,10.5,-,-,7.8,2.7,6.13
535,Matheus Nunes,2,73,14.5,1.5,-,12,1,6.13
536,Mohammed Waad,2,26,5.5,-,-,4,1.5,6.13
537,Jamie Maclaren,3,52,4.3,-,-,2.3,2,6.12
538,Abderrazzaq Hamed Allah,4,64,3.8,-,-,2,1.8,6.12
539,Abdelkarim Hassan,3,270,51,6.3,4.7,33.7,6.3,6.12
540,Abolfazl Jalali,1,18,20,-,3,14,3,6.12
541,Carlos Rodríguez,2,32,14,1,1,9.5,2.5,6.12
542,Héctor Moreno,3,270,64.7,3,4.3,51.7,5.7,6.12
543,Hernán Galíndez,3,270,22.7,4.3,10,8.3,-,6.12
544,Anthony Contreras,3,127,8,-,-,4.7,3.3,6.12
545,José Cifuentes,2,58,20,-,1,15.5,3.5,6.12
546,Nicolás de la Cruz,2,36,11.5,0.5,-,9.5,1.5,6.12
547,Pedro,2,62,6.5,-,-,5,1.5,6.12
548,Ali Al Hassan,1,46,6,-,-,4,2,6.11
549,Ayase Ueda,1,46,12,-,-,7,5,6.11
550,Néstor Araújo,1,90,46,1,6,36,3,6.11
551,Joe Morrell,2,32,7,0.5,-,5.5,1,6.11
552,DeAndre Yedlin,2,32,9.5,-,1,7.5,1,6.11
553,Denis Zakaria,2,57,11.5,-,-,10,1.5,6.11
554,Samuel Adekugbe,3,94,19.3,-,0.7,18,0.7,6.10
555,Fabian Frei,2,23,7,-,0.5,4.5,2,6.10
556,Luka Jovic,2,36,4.5,-,-,2.5,2,6.10
557,Steven Bergwijn,4,217,17.8,0.3,0.3,15.5,1.8,6.10
558,Yuki Soma,1,82,10,-,2,8,-,6.10
559,Nikola Vlasic,6,206,8.5,-,0.2,7.3,1,6.10
560,Garang Kuol,2,35,2.5,-,-,1.5,1,6.10
561,Ansu Fati,2,44,14,-,-,12.5,1.5,6.10
562,Brandon Aguilera,3,89,12,0.3,0.7,8.7,2.3,6.09
563,Filip Djuricic,2,13,2.5,-,-,2,0.5,6.09
564,Ismaël Koné,3,106,33.3,2.7,0.3,29.3,1,6.09
565,Mark-Anthony Kaye,1,60,60,2,1,48,9,6.09
566,Badr Benoun,3,52,7.3,0.7,0.3,6.3,-,6.09
567,Hossein Kanani,2,46,5,2,1,1.5,0.5,6.09
568,Nicola Zalewski,2,65,8,0.5,-,6.5,1,6.09
569,Kasper Dolberg,3,113,5.7,-,-,4.7,1,6.08
570,Alan Franco,2,47,5.5,-,-,5,0.5,6.08
571,Édouard Mendy,4,360,26.3,5.3,8,13,-,6.08
572,Nemanja Gudelj,2,92,26,0.5,0.5,21.5,3.5,6.08
573,Leandro Trossard,3,103,18,2,-,12,4,6.07
574,Tarek Salman,1,7,9,-,-,7,2,6.07
575,Artur Jedrzejczyk,1,18,3,1,-,2,-,6.06
576,Gerson Torres,1,65,16,-,-,16,-,6.06
577,Ivan Ilic,1,33,20,-,-,19,1,6.06
578,Kenneth Taylor,1,4,8,1,-,7,-,6.06
579,Raúl Jiménez,3,56,9.7,1,-,5.7,3,6.06
580,Krzysztof Piatek,2,26,3,-,-,1,2,6.06
581,Karim Boudiaf,3,185,35.3,1.7,0.7,29.7,3.3,6.05
582,Fodé Ballo-Touré,1,6,5,-,-,4,1,6.05
583,Kevin Álvarez,2,70,9.5,-,0.5,6,3,6.05
584,Kwon Chang-Hoon,1,57,22,-,2,17,3,6.04
585,Ilias Chair,1,45,13,1,-,12,-,6.04
586,Francisco Calvo,2,180,49,2.5,4.5,38,4,6.04
587,Steven Vitória,3,270,62,3,5,50.3,3.7,6.03
588,André Silva,1,25,11,-,-,9,2,6.03
589,Carlos Gruezo,1,46,15,1,-,14,-,6.03
590,Georges-Kévin Nkoudou,2,25,5,0.5,-,4,0.5,6.03
591,Jonathan Osorio,3,119,18.3,1,-,15.7,1.7,6.03
592,Michal Skóras,1,45,9,-,-,8,1,6.03
593,Gonzalo Montiel,4,118,16.5,0.3,0.3,14,2,6.03
594,Abdulaziz Hatem,3,196,29.7,1,1.3,23,4.3,6.02
595,Keanu Baccus,4,113,10.3,1,1.3,5.5,2.5,6.02
596,Edimilson Fernandes,3,143,21.3,-,1.3,17.7,2.3,6.02
597,Gregor Kobel,1,90,23,1,8,14,-,6.02
598,Jan Bednarek,1,4,6,-,-,6,-,6.02
599,Jordan Veretout,1,63,36,1,-,32,3,6.02
600,Srdjan Babic,1,12,15,-,3,9,3,6.02
601,Keylor Navas,3,270,29,8,13.3,7.7,-,6.02
602,Awer Mabil,2,22,6.5,-,0.5,4.5,1.5,6.02
603,Boualem Khoukhi,3,270,65,3.7,3.7,52.3,5.3,6.01
604,Hwang Ui-Jo,4,104,2.8,-,-,2.3,0.5,6.01
605,Marcos Llorente,1,120,90,5,1,77,7,6.01
606,Nawaf Al Abid,2,85,18.5,0.5,-,16,2,6.01
607,Weverton,1,10,5,3,2,-,-,6.01
608,Daniel Chacón,1,1,1,-,-,1,-,6.00
609,Eray Cömert,2,46,21,1,0.5,18,1.5,6.00
610,Issahaku Fatawu,1,1,-,-,-,-,-,6.00
611,Kevin Rodríguez,2,2,0.5,-,-,-,0.5,6.00
612,Kristijan Jakic,1,1,-,-,-,-,-,6.00
613,Matthias Ginter,1,1,3,-,-,3,-,6.00
614,Predrag Rajkovic,1,1,-,-,-,-,-,6.00
615,Roan Wilson,1,1,4,-,-,4,-,6.00
616,Sorba Thomas,1,1,3,-,1,2,-,6.00
617,Youssoufa Moukoko,1,1,1,-,-,1,-,6.00
618,Cho Yu-Min,1,1,-,-,-,-,-,6.00
619,Jordan Morris,2,3,1,-,-,0.5,0.5,6.00
