No.,Player,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating
225,Niklas Süle,3,270,1.7,-,-,1,2,-,0.3,-,6.58
226,Joel Campbell,3,270,3,-,1,-,0.7,0.3,-,-,6.58
227,Kendall Waston,2(1),225,2.3,1.7,0.3,0.3,4.7,0.3,0.3,-,6.58
228,Breel Embolo,4,327,0.3,-,0.8,-,0.3,0.3,-,-,6.58
229,Daizen Maeda,3,183,1,1,0.7,-,-,0.3,-,-,6.58
230,William Carvalho,2(2),214,1.5,-,0.8,-,0.8,0.3,-,-,6.58
231,Kaoru Mitoma,0(4),163,1.8,0.5,0.8,0.3,1.3,-,0.3,-,6.57
232,Kim Seung-Gyu,4,360,-,0.5,-,-,0.8,-,-,-,6.57
233,Nico Schlotterbeck,1(1),93,2,0.5,0.5,0.5,0.5,-,0.5,-,6.57
234,Granit Xhaka,4,360,1.5,0.5,1.3,-,1.8,0.5,0.5,-,6.57
235,Jordan Pickford,5,450,-,-,-,-,0.4,-,-,-,6.57
236,Kim Young-Gwon,4,351,0.8,0.8,0.3,0.5,2.8,0.3,0.5,-,6.57
237,Michael Estrada,3,228,0.3,-,2,-,-,0.3,0.3,-,6.56
238,Ali Gholizadeh,2(1),200,-,1,1,-,0.3,0.7,-,-,6.56
239,Rasmus Kristensen,3,226,2.7,0.3,0.7,0.3,2.3,1.3,0.3,-,6.56
240,Andrej Kramaric,7,481,0.4,-,0.1,-,-,0.1,-,-,6.55
241,Dani Alves,1(1),117,2.5,1,2.5,-,1,1.5,0.5,-,6.55
242,Sebastián Coates,2,180,0.5,0.5,1,0.5,3,-,0.5,-,6.55
243,Mathew Ryan,4,360,-,-,-,-,1.8,-,-,-,6.54
244,Marcus Thuram,0(5),148,0.6,-,0.6,-,0.4,-,-,-,6.54
245,Alireza Beiranvand,2,110,-,-,-,-,1.5,-,-,-,6.54
246,Héctor Herrera,2,161,2,1.5,2,-,-,1,-,-,6.54
247,Majid Hosseini,3,270,2.3,2,1.3,1,3.7,1,0.7,-,6.54
248,Saeid Ezatolahi,2(1),218,2,0.7,0.7,-,1.3,2,-,-,6.54
249,Emiliano Martínez,7,692,-,-,-,-,0.7,-,-,-,6.54
250,Timothy Castagne,3,270,2.3,0.7,1,0.7,1.3,0.7,-,-,6.53
251,Chris Mepham,3,270,2.7,0.3,2.3,0.3,4.7,0.3,0.7,-,6.53
252,Thorgan Hazard,1(1),106,1.5,-,1,-,-,1,-,-,6.53
253,Lisandro Martínez,2(3),301,1.2,0.6,0.4,0.6,2.6,-,0.2,-,6.53
254,Timothy Weah,4,320,-,-,0.3,-,-,0.3,-,-,6.53
255,Ismaeel Mohammad,2,175,1.5,1,0.5,1,0.5,-,-,-,6.53
256,Andreas Cornelius,1(2),91,-,-,1.3,-,0.3,-,-,-,6.52
257,Nahuel Molina,6(1),570,1.1,0.4,0.4,-,1.3,0.6,0.1,-,6.52
258,Jack Grealish,0(5),81,0.6,0.6,-,-,-,-,-,-,6.52
259,Memphis Depay,3(2),300,0.2,0.2,0.2,-,-,0.2,-,-,6.52
260,Roozbeh Cheshmi,1(1),58,-,1,0.5,-,1.5,-,0.5,-,6.52
261,Harry Wilson,2(1),161,1.3,0.3,0.3,-,1,-,-,-,6.51
262,Gareth Bale,3,226,0.3,0.3,0.7,-,0.3,0.7,-,-,6.51
263,Idrissa Gueye,3,270,0.7,1.7,1.3,-,0.7,0.3,-,-,6.51
264,Hiroki Sakai,1(1),121,2.5,0.5,1.5,-,4,1,1,-,6.51
265,Krystian Bielik,2(2),216,1.3,1.3,1.3,-,1.5,0.5,-,-,6.51
266,Boulaye Dia,4,321,0.3,0.3,0.8,-,0.8,-,-,-,6.51
267,Bryan Mbeumo,3,226,-,0.3,0.3,-,0.7,-,-,-,6.50
268,Lawrence Ati-Zigi,3,270,-,-,-,-,0.3,-,-,-,6.50
269,Przemyslaw Frankowski,3(1),241,1.8,0.8,0.3,-,1,1,0.3,-,6.50
270,Sebastian Szymanski,2,136,3,1,0.5,-,0.5,0.5,0.5,-,6.50
271,Rúben Dias,4,360,1,0.8,1,0.3,2.3,0.3,-,-,6.50
272,Marco Asensio,3(1),231,0.3,-,0.8,-,-,-,-,-,6.49
273,Eden Hazard,2(1),125,-,0.3,-,-,-,-,-,-,6.49
274,Iliman Ndiaye,2(1),137,-,0.3,-,-,-,0.7,-,-,6.49
275,Shuichi Gonda,4,391,-,-,0.3,-,1,-,-,-,6.49
276,Abdelhamid Sabiri,2(3),180,0.6,1,0.4,-,0.6,0.8,0.2,-,6.48
277,Luis Suárez,2(1),147,0.3,-,-,-,0.7,1,-,-,6.48
278,Lee Kang-In,1(3),146,1,-,0.5,-,-,0.8,-,-,6.48
