No.,Player,Apps,Mins,Assist,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
152,Carlos Soler,0(2),91,-,1,39,96.2,1,1.5,-,6.74
153,Jorge Sánchez,2,176,-,-,30,78.3,-,0.5,-,6.74
154,Sergej Milinkovic-Savic,3,236,-,-,39.7,72.3,0.3,1.3,-,6.74
155,Kim Jin-Su,4,316,1,1.3,25,77,1.3,1,-,6.74
156,Davy Klaassen,3(1),192,2,1,18.8,78.7,-,-,-,6.73
157,André-Frank Zambo Anguissa,3,261,-,-,42.3,88.2,-,1,-,6.73
158,Borna Sosa,5,426,-,0.4,43.6,83.9,1,0.6,-,6.73
159,Maya Yoshida,4,391,1,0.3,58,85.3,-,3.3,-,6.73
160,Pierre Kunde,2,135,-,0.5,22,81.8,0.5,2,-,6.73
161,Azzedine Ounahi,6(1),571,-,0.9,36.9,83.3,-,1.1,0.3,6.72
162,John Stones,5,437,-,0.2,90.6,95.8,-,5.6,-,6.72
163,Thomas Partey,3,270,-,0.7,58.3,83.4,-,2.3,-,6.72
164,Josip Juranovic,6,602,1,1.2,52.7,83.9,1,1.8,-,6.72
165,Hossein Hosseini,1(1),160,-,-,15.5,29,-,3.5,-,6.72
166,Saleh Al Shehri,3,226,-,0.7,15.3,63,-,0.7,-,6.71
167,Rodrigo De Paul,7,602,-,1,77,85.7,0.1,2,-,6.71
168,Kye Rowles,4,360,-,-,46.5,88.7,-,2.8,-,6.71
169,Joachim Andersen,3,270,1,0.3,82.7,79.8,-,7.3,-,6.71
170,Xherdan Shaqiri,3,231,1,1.3,29,74.7,0.3,1,-,6.71
171,Gonzalo Plata,3,270,-,0.7,28,85.7,0.7,0.3,-,6.71
172,Dusan Vlahovic,1(1),79,-,-,5.5,54.5,-,0.5,-,6.71
173,Fran Karacic,1(1),93,-,0.5,19,60.5,0.5,3,-,6.70
174,Junya Ito,3(1),324,1,1.3,18,66.7,0.5,-,-,6.70
175,Antonee Robinson,4,360,-,0.8,47,79.3,0.5,2,-,6.70
176,Nayef Aguerd,4,354,-,0.3,39.5,86.7,-,3.5,-,6.70
177,Kasper Schmeichel,3,270,-,-,24.7,79.7,-,5.3,-,6.69
178,Ethan Ampadu,3,257,-,0.7,45.3,75.7,-,3.7,-,6.68
179,Raheem Sterling,2(1),150,1,0.3,17.7,84.9,-,-,-,6.68
180,Wout Weghorst,0(4),62,-,0.3,3.8,60,-,-,-,6.68
181,Yunus Musah,4,345,-,0.8,43,86.6,-,1.3,-,6.68
182,Thomas Meunier,2(1),213,-,1,42,77.8,-,3.7,-,6.67
183,Yann Sommer,3,270,-,-,33.7,92.1,-,4.3,-,6.67
184,Sofiane Boufal,7,482,-,0.6,17.7,76.6,0.6,1.1,-,6.67
185,Dayot Upamecano,5,481,-,0.4,69.6,89.9,-,6,-,6.67
186,Tim Ream,4,360,-,-,68.5,88.7,-,4,-,6.66
187,Yeltsin Tejeda,3,270,1,0.3,32.7,79.6,-,2,-,6.66
188,Teun Koopmeiners,1(4),218,1,0.4,22.8,78.9,-,1,-,6.66
189,Ali Abdi,2(1),187,-,0.3,27.7,61.4,0.3,1,-,6.66
190,Jesús Gallardo,3,270,-,0.3,34.7,72.1,0.7,1.3,-,6.65
191,Strahinja Pavlovic,3,236,-,-,51,77.8,-,1.3,-,6.65
192,Christian Eriksen,3,270,-,3,65.3,89.8,3.3,6,-,6.65
193,Mathew Leckie,4,336,1,0.5,24.3,68,-,0.3,-,6.65
194,Son Heung-Min,4,360,1,1.8,23,77.2,1.3,0.8,0.3,6.65
195,Sergiño Dest,4,309,1,0.8,42.3,89.9,0.3,1.5,-,6.65
196,Daniel Amartey,3,270,-,1,47,90.8,-,4.3,-,6.64
197,Hugo Lloris,6,571,-,-,26.5,55.3,-,6.2,-,6.64
198,Ismail Jakobs,3(1),279,1,1.3,27.3,72.5,1.3,-,-,6.64
199,Achraf Dari,2(1),187,-,-,37,89.2,-,1.7,-,6.63
200,Rafael Leão,0(5),83,-,0.2,8.2,75.6,0.2,-,-,6.63
201,Mitchell Duke,4,274,-,0.3,15.5,58.1,-,0.3,-,6.63
202,Denzel Dumfries,5,481,2,0.4,31.8,71.1,-,0.8,-,6.63
203,Sergio Busquets,4,365,-,0.8,72,90.3,-,2.8,-,6.62
204,Ao Tanaka,2(1),174,-,0.3,22.3,70.1,0.3,1,-,6.62
205,Cristian Romero,6(1),549,-,-,53.3,89.8,-,2,-,6.62
206,Aaron Mooy,4,360,-,0.3,51.8,81.2,0.5,3.3,-,6.61
207,Mohamed Dräger,2,134,-,0.5,15,63.3,0.5,0.5,-,6.61
208,Stephen Eustáquio,2,127,-,1,46,90.2,-,2,-,6.61
209,Keysher Fuller,3,254,-,0.3,18,70.4,-,0.7,-,6.61
210,Morteza Pouraliganji,3,270,-,0.7,42,73,-,3.7,-,6.61
211,Grzegorz Krychowiak,4,334,-,0.8,31.5,73.8,-,2,-,6.61
212,Sergio Rochet,3,270,-,-,24,66.7,-,2.7,-,6.60
213,Walker Zimmerman,3(1),278,-,-,60.5,89.3,-,3.3,-,6.60
214,Sofyan Amrabat,7,661,-,0.3,44.9,85.4,-,1.9,-,6.60
215,Naïm Sliti,1(1),113,-,1,18,72.2,0.5,-,-,6.60
216,Celso Borges,3,251,-,0.3,38.7,84.5,-,1.7,-,6.59
217,Jawad El Yamiq,3(3),309,-,-,27,88.9,-,0.7,-,6.59
218,Mislav Orsic,1(5),163,2,0.8,8.2,79.6,-,-,0.2,6.59
219,Hassan Tambakti,2,180,-,-,27.5,72.7,-,2,-,6.59
220,Shogo Taniguchi,2,211,-,-,41,84.1,-,3,-,6.59
221,Jhegson Méndez,2,180,-,1,68.5,93.4,-,3,0.5,6.59
222,Manuel Akanji,4,360,-,0.3,64,88.7,0.3,5.8,-,6.59
223,Marquinhos,4(1),427,-,0.8,72.8,95.9,0.2,0.8,-,6.58
224,Mohammed Muntari,0(3),60,-,0.3,6.3,89.5,-,-,-,6.58
225,Niklas Süle,3,270,-,-,81.3,91.4,-,4,-,6.58
226,Joel Campbell,3,270,-,0.3,42,79.4,0.7,2,-,6.58
227,Kendall Waston,2(1),225,-,-,23.7,80.3,-,2.3,-,6.58
228,Breel Embolo,4,327,-,0.5,15.3,75.4,-,0.3,-,6.58
229,Daizen Maeda,3,183,-,-,5.7,47.1,-,-,-,6.58
230,William Carvalho,2(2),214,-,-,42.3,92.3,-,1.3,-,6.58
231,Kaoru Mitoma,0(4),163,1,0.8,14.3,71.9,-,0.5,-,6.57
232,Kim Seung-Gyu,4,360,-,-,29,69.8,-,4.3,-,6.57
233,Nico Schlotterbeck,1(1),93,-,1,59,91.5,-,1,-,6.57
234,Granit Xhaka,4,360,-,0.5,60.5,88.4,-,4.8,-,6.57
235,Jordan Pickford,5,450,-,-,29,77.2,-,4.6,-,6.57
236,Kim Young-Gwon,4,351,-,0.8,51.8,85.5,0.3,5,-,6.57
237,Michael Estrada,3,228,-,0.3,16,58.3,-,0.7,0.3,6.56
238,Ali Gholizadeh,2(1),200,1,0.7,21.7,66.2,0.3,0.3,0.3,6.56
239,Rasmus Kristensen,3,226,-,0.3,48.3,79.3,-,0.3,-,6.56
240,Andrej Kramaric,7,481,-,0.6,23.9,88.6,0.3,0.7,-,6.55
241,Dani Alves,1(1),117,-,-,40,88.8,0.5,1.5,-,6.55
242,Sebastián Coates,2,180,-,-,46.5,81.7,-,3,-,6.55
243,Mathew Ryan,4,360,-,-,37.8,66.2,-,10.8,-,6.54
244,Marcus Thuram,0(5),148,2,0.8,7.8,69.2,-,0.2,-,6.54
245,Alireza Beiranvand,2,110,-,-,14,60.7,-,3,-,6.54
246,Héctor Herrera,2,161,-,0.5,37,85.1,0.5,2,-,6.54
247,Majid Hosseini,3,270,-,-,35,81,-,2.7,-,6.54
248,Saeid Ezatolahi,2(1),218,-,0.7,28,77.4,0.3,4.7,-,6.54
249,Emiliano Martínez,7,692,-,-,21.7,56.6,-,2,-,6.54
250,Timothy Castagne,3,270,-,-,61.3,88,-,3.7,-,6.53
251,Chris Mepham,3,270,-,0.7,56.7,81.8,-,3,-,6.53
252,Thorgan Hazard,1(1),106,-,3,21,76.2,1.5,1,-,6.53
253,Lisandro Martínez,2(3),301,-,0.2,30.6,86.3,-,1.4,-,6.53
254,Timothy Weah,4,320,-,1.5,24.8,86.9,0.8,0.8,-,6.53
255,Ismaeel Mohammad,2,175,1,0.5,24,79.2,1.5,1.5,-,6.53
256,Andreas Cornelius,1(2),91,-,1,11,63.6,-,-,-,6.52
257,Nahuel Molina,6(1),570,1,0.4,41.1,80.6,0.3,0.9,-,6.52
258,Jack Grealish,0(5),81,-,0.4,10.8,88.9,-,0.2,-,6.52
259,Memphis Depay,3(2),300,-,0.6,23.6,77.1,0.2,0.6,0.2,6.52
260,Roozbeh Cheshmi,1(1),58,-,-,5.5,63.6,-,-,-,6.52
261,Harry Wilson,2(1),161,-,1,18.3,80,1.3,1.3,-,6.51
262,Gareth Bale,3,226,-,0.7,16.3,65.3,0.3,0.7,-,6.51
263,Idrissa Gueye,3,270,-,0.3,37.7,92,0.3,1,-,6.51
264,Hiroki Sakai,1(1),121,-,0.5,15.5,61.3,-,1.5,-,6.51
265,Krystian Bielik,2(2),216,-,-,24.8,86.9,-,2.3,-,6.51
266,Boulaye Dia,4,321,-,0.3,12.8,76.5,-,0.3,-,6.51
267,Bryan Mbeumo,3,226,-,1.7,24.3,63,1,0.3,-,6.50
268,Lawrence Ati-Zigi,3,270,-,-,23.3,65.7,-,4.3,-,6.50
269,Przemyslaw Frankowski,3(1),241,-,0.3,16.3,72.3,0.3,0.5,-,6.50
270,Sebastian Szymanski,2,136,-,-,19,65.8,0.5,0.5,-,6.50
271,Rúben Dias,4,360,-,-,68.3,90.5,-,2,-,6.50
272,Marco Asensio,3(1),231,-,0.5,27.3,80.7,-,0.8,-,6.49
273,Eden Hazard,2(1),125,-,0.3,19,80.7,-,0.3,-,6.49
274,Iliman Ndiaye,2(1),137,1,0.3,9.7,82.8,-,-,-,6.49
275,Shuichi Gonda,4,391,-,-,25,56,-,3.5,-,6.49
276,Abdelhamid Sabiri,2(3),180,1,0.6,11.4,77.2,0.2,1,-,6.48
277,Luis Suárez,2(1),147,1,0.3,13.3,62.5,-,0.3,-,6.48
278,Lee Kang-In,1(3),146,1,1,16.3,92.3,0.5,1,-,6.48
279,Kamil Glik,4,360,-,-,32.5,90.8,-,1.8,-,6.48
280,Guillermo Ochoa,3,270,-,-,31.7,85.3,-,5,-,6.48
281,Nicolás Tagliafico,3(3),374,-,0.3,23.8,83.9,-,0.3,-,6.48
282,Ricardo Horta,1(2),117,-,0.3,13.3,75,-,-,-,6.48
283,Alidu Seidu,2,156,-,-,29,81,0.5,-,-,6.47
284,Anis Ben Slimane,2,150,-,1,17.5,71.4,1,-,-,6.47
285,Na Sang-Ho,1(1),120,-,1.5,14,78.6,0.5,0.5,-,6.47
286,Bruno Petkovic,1(5),232,-,0.7,12.2,53.4,0.2,0.5,-,6.47
287,Craig Goodwin,3(1),236,-,1.3,18.3,69.9,0.8,0.8,-,6.47
288,Osman Bukari,0(2),58,-,0.5,9,77.8,-,-,-,6.47
289,Gabriel Jesus,1(2),92,-,1.3,8.7,80.8,-,-,-,6.46
290,Junior Hoilett,2(1),162,-,1.3,14.7,84.1,1.7,0.3,-,6.46
291,Pedro Miguel,3,263,-,-,31,71,0.7,1,-,6.46
292,Mason Mount,2(2),186,-,0.3,17.5,87.1,-,1.3,-,6.46
293,Joakim Maehle,3,250,-,0.3,39,80.3,-,1.3,-,6.46
294,Milos Degenek,2(2),183,-,-,18.5,73,-,1,-,6.46
295,Raphaël Varane,6,521,-,-,47.3,89.8,-,2,-,6.46
296,Haji Wright,1(3),135,-,0.3,6.5,76.9,-,-,-,6.46
297,Nikola Milenkovic,3,270,-,-,53.3,87.5,-,3,-,6.46
298,Kwon Kyung-Won,1(1),91,-,-,21.5,90.7,-,2,-,6.46
299,Jordan Ayew,2(1),137,1,1,12,88.9,0.7,-,-,6.45
300,Piero Hincapié,3,270,-,-,65,85.1,-,5,-,6.45
301,Martin Hongla,2,123,-,1,29.5,83.1,-,2,0.5,6.45
302,Michy Batshuayi,2,153,-,0.5,12,66.7,-,-,-,6.45
303,Bernardo Silva,4(1),358,-,1,56.8,89.1,0.2,2.2,-,6.45
304,Kieffer Moore,2(1),225,-,1.3,18.7,64.3,-,0.7,-,6.45
305,Alexander Bah,0(2),46,-,0.5,21,73.8,0.5,-,-,6.45
306,Daichi Kamada,4,324,-,0.3,24.5,82.7,0.3,1.5,-,6.44
307,Moumi Ngamaleu,1(1),95,-,0.5,11.5,82.6,0.5,-,-,6.44
308,Callum Wilson,0(2),46,1,1.5,5,90,-,-,-,6.44
309,Ferran Torres,3(1),219,-,0.3,19,76.3,0.3,-,-,6.44
310,Mathias Jensen,1(1),84,-,2,31,82.3,-,1.5,-,6.44
311,Vitinha,1(2),118,-,0.3,34.7,94.2,0.3,2,-,6.44
312,Matthijs de Ligt,1(1),91,-,-,22.5,91.1,-,2.5,-,6.44
313,Jackson Irvine,4,355,-,0.3,31.3,81.6,-,0.5,-,6.43
314,Nemanja Maksimovic,1(2),120,-,1,18.3,87.3,0.7,-,-,6.43
315,Salis Abdul Samed,3,252,-,0.3,47.3,90.8,-,1,-,6.43
316,Yannick Carrasco,2,118,-,-,21,90.5,-,-,-,6.43
317,Rubén Vargas,4,289,1,1.3,24,72.9,1,-,-,6.43
318,Collins Fai,3,270,-,0.7,36.3,70.6,0.3,2,0.3,6.43
319,Pape Gueye,1(2),152,-,0.7,20,73.3,0.3,2,-,6.43
320,Feras Al,"22,",Forward,3,269,1,0.3,20,70,-,-
321,Bartosz Bereszynski,4,342,-,-,28.3,77.9,0.3,1,-,6.42
322,Ahmad Noorollahi,3,226,-,-,16.7,70,-,0.7,-,6.42
323,Connor Roberts,2(1),201,-,0.3,30.7,81.5,0.3,3.3,-,6.42
324,Yahya Attiat-Allah,2(4),318,1,0.8,17.3,76,0.7,0.5,-,6.41
325,Atiba Hutchinson,2(1),162,-,-,37.3,89.3,-,0.3,-,6.40
326,Kim Min-Jae,3,270,-,-,63,88.4,-,5,-,6.40
327,Josh Sargent,2(1),158,-,0.3,10.7,90.6,-,-,-,6.40
328,Moisés Caicedo,3,270,-,-,51,82.4,-,0.3,-,6.40
329,Marten de Roon,3(2),187,-,-,23.4,82.1,-,0.6,-,6.40
330,Romario Ibarra,1(1),69,-,-,7,71.4,-,-,-,6.40
331,Hidemasa Morita,3,286,-,0.7,51,83,0.3,3,-,6.39
332,Selim Amallah,4(3),409,-,0.4,12.1,76.5,-,0.3,-,6.39
333,Antony,1(3),171,-,0.8,24.8,86.9,-,0.5,-,6.39
334,Mehdi Torabi,0(3),59,-,1,11.7,82.9,-,0.3,0.3,6.39
335,Thomas Müller,3,203,-,2.7,23,73.9,0.7,0.3,-,6.39
336,Nicolas Nkoulou,2,180,-,-,45,87.8,-,3.5,-,6.39
337,Iñaki Williams,3,252,1,0.7,13.7,70.7,-,0.3,-,6.38
338,Axel Disasi,1(2),92,-,-,20,73.3,0.3,-,-,6.38
339,Jae-Sung Lee,3,214,-,0.7,32,87.5,-,1,-,6.38
340,Son Jun-Ho,0(3),70,-,-,19.7,93.2,-,2.7,-,6.38
341,Matías Vecino,2(1),196,-,-,35,72.4,-,1,-,6.38
