No.,Player,Apps,Mins,Goals,Assists,Yel,Red,SpG,PS%,AerialsWon,MotM,Rating
156,Davy Klaassen,3(1),192,1,2,-,-,0.5,78.7,0.5,-,6.73
157,André-Frank Zambo Anguissa,3,261,-,-,-,-,0.3,88.2,1.3,-,6.73
158,Borna Sosa,5,426,-,-,-,-,0.4,83.9,0.8,-,6.73
159,Maya Yoshida,4,391,-,1,1,-,-,85.3,2.5,-,6.73
160,Pierre Kunde,2,135,-,-,1,-,2.5,81.8,0.5,-,6.73
161,Azzedine Ounahi,6(1),571,-,-,1,-,0.9,83.3,0.1,-,6.72
162,John Stones,5,437,-,-,-,-,0.8,95.8,1.2,-,6.72
163,Thomas Partey,3,270,-,-,-,-,0.7,83.4,2,-,6.72
164,Josip Juranovic,6,602,-,1,-,-,0.2,83.9,0.3,-,6.72
165,Hossein Hosseini,1(1),160,-,-,-,-,-,29,0.5,-,6.72
166,Saleh Al Shehri,3,226,1,-,1,-,0.7,63,2,-,6.71
167,Rodrigo De Paul,7,602,-,-,-,-,1,85.7,0.3,-,6.71
168,Kye Rowles,4,360,-,-,-,-,-,88.7,1,-,6.71
169,Joachim Andersen,3,270,-,1,-,-,1.3,79.8,3.3,-,6.71
170,Xherdan Shaqiri,3,231,1,1,-,-,1.3,74.7,0.3,-,6.71
171,Gonzalo Plata,3,270,-,-,-,-,0.7,85.7,1.7,-,6.71
172,Dusan Vlahovic,1(1),79,1,-,-,-,1.5,54.5,1,1,6.71
173,Fran Karacic,1(1),93,-,-,-,-,1.5,60.5,2,-,6.70
174,Junya Ito,3(1),324,-,1,-,-,0.5,66.7,0.8,-,6.70
175,Antonee Robinson,4,360,-,-,-,-,-,79.3,1.3,-,6.70
176,Nayef Aguerd,4,354,-,-,-,-,0.3,86.7,1.3,-,6.70
177,Kasper Schmeichel,3,270,-,-,-,-,-,79.7,0.7,-,6.69
178,Ethan Ampadu,3,257,-,-,-,-,0.3,75.7,1,-,6.68
179,Raheem Sterling,2(1),150,1,1,-,-,0.3,84.9,0.3,-,6.68
180,Wout Weghorst,0(4),62,2,-,1,-,0.5,60,0.5,1,6.68
181,Yunus Musah,4,345,-,-,-,-,1,86.6,0.8,-,6.68
182,Thomas Meunier,2(1),213,-,-,1,-,1,77.8,0.7,-,6.67
183,Yann Sommer,3,270,-,-,-,-,-,92.1,-,1,6.67
184,Sofiane Boufal,7,482,-,-,1,-,1,76.6,0.4,-,6.67
185,Dayot Upamecano,5,481,-,-,-,-,0.2,89.9,1.4,-,6.67
186,Tim Ream,4,360,-,-,1,-,0.3,88.7,1.5,-,6.66
187,Yeltsin Tejeda,3,270,1,1,-,-,0.7,79.6,1.3,-,6.66
188,Teun Koopmeiners,1(4),218,-,1,1,-,0.4,78.9,0.8,-,6.66
189,Ali Abdi,2(1),187,-,-,1,-,-,61.4,3,1,6.66
190,Jesús Gallardo,3,270,-,-,-,-,0.3,72.1,0.3,-,6.65
191,Strahinja Pavlovic,3,236,1,-,2,-,0.7,77.8,4,-,6.65
192,Christian Eriksen,3,270,-,-,-,-,1.3,89.8,-,-,6.65
193,Mathew Leckie,4,336,1,1,-,-,0.3,68,3.5,-,6.65
194,Son Heung-Min,4,360,-,1,-,-,2.3,77.2,-,1,6.65
195,Sergiño Dest,4,309,-,1,1,-,1.5,89.9,0.3,-,6.65
196,Daniel Amartey,3,270,-,-,1,-,0.3,90.8,1.7,-,6.64
197,Hugo Lloris,6,571,-,-,-,-,-,55.3,0.5,-,6.64
198,Ismail Jakobs,3(1),279,-,1,1,-,0.3,72.5,2.3,-,6.64
199,Achraf Dari,2(1),187,1,-,1,-,0.3,89.2,1.7,-,6.63
200,Rafael Leão,0(5),83,2,-,-,-,1,75.6,0.2,-,6.63
201,Mitchell Duke,4,274,1,-,1,-,1.8,58.1,2.8,1,6.63
202,Denzel Dumfries,5,481,1,2,-,1,0.2,71.1,1.8,-,6.63
203,Sergio Busquets,4,365,-,-,1,-,0.5,90.3,2,-,6.62
204,Ao Tanaka,2(1),174,1,-,-,-,0.3,70.1,1,-,6.62
205,Cristian Romero,6(1),549,-,-,2,-,-,89.8,1.7,-,6.62
206,Aaron Mooy,4,360,-,-,1,-,0.3,81.2,0.5,-,6.61
207,Mohamed Dräger,2,134,-,-,-,-,2,63.3,0.5,-,6.61
208,Stephen Eustáquio,2,127,-,-,-,-,1.5,90.2,0.5,-,6.61
209,Keysher Fuller,3,254,1,-,-,-,1,70.4,-,1,6.61
210,Morteza Pouraliganji,3,270,-,-,1,-,0.7,73,3,-,6.61
211,Grzegorz Krychowiak,4,334,-,-,1,-,0.3,73.8,1,-,6.61
212,Sergio Rochet,3,270,-,-,-,-,-,66.7,0.3,-,6.60
213,Walker Zimmerman,3(1),278,-,-,-,-,0.3,89.3,2,-,6.60
214,Sofyan Amrabat,7,661,-,-,1,-,0.1,85.4,0.3,-,6.60
215,Naïm Sliti,1(1),113,-,-,-,-,0.5,72.2,0.5,-,6.60
216,Celso Borges,3,251,-,-,1,-,-,84.5,2,-,6.59
217,Jawad El Yamiq,3(3),309,-,-,-,-,0.3,88.9,1,-,6.59
218,Mislav Orsic,1(5),163,1,2,-,-,1.5,79.6,-,-,6.59
219,Hassan Tambakti,2,180,-,-,1,-,-,72.7,0.5,-,6.59
220,Shogo Taniguchi,2,211,-,-,1,-,1,84.1,4,-,6.59
221,Jhegson Méndez,2,180,-,-,2,-,-,93.4,1,-,6.59
222,Manuel Akanji,4,360,1,-,1,-,1,88.7,2.3,-,6.59
223,Marquinhos,4(1),427,-,-,1,-,0.4,95.9,0.8,-,6.58
224,Mohammed Muntari,0(3),60,1,-,-,-,1,89.5,1,-,6.58
225,Niklas Süle,3,270,-,-,-,-,0.3,91.4,2,-,6.58
226,Joel Campbell,3,270,-,-,1,-,0.3,79.4,1.7,-,6.58
227,Kendall Waston,2(1),225,-,-,-,-,0.3,80.3,1.3,-,6.58
228,Breel Embolo,4,327,2,-,-,-,1.5,75.4,0.5,-,6.58
229,Daizen Maeda,3,183,1,-,-,-,0.7,47.1,0.3,-,6.58
230,William Carvalho,2(2),214,-,-,-,-,0.3,92.3,1,-,6.58
231,Kaoru Mitoma,0(4),163,-,1,-,-,0.3,71.9,0.5,-,6.57
232,Kim Seung-Gyu,4,360,-,-,-,-,-,69.8,-,-,6.57
233,Nico Schlotterbeck,1(1),93,-,-,-,-,-,91.5,1,-,6.57
234,Granit Xhaka,4,360,-,-,1,-,1.5,88.4,1.8,-,6.57
235,Jordan Pickford,5,450,-,-,-,-,-,77.2,-,-,6.57
236,Kim Young-Gwon,4,351,1,-,1,-,0.5,85.5,1.5,-,6.57
237,Michael Estrada,3,228,-,-,-,-,1,58.3,4.3,-,6.56
238,Ali Gholizadeh,2(1),200,-,1,-,-,0.3,66.2,-,-,6.56
239,Rasmus Kristensen,3,226,-,-,1,-,-,79.3,1,-,6.56
240,Andrej Kramaric,7,481,2,-,-,-,1.4,88.6,-,1,6.55
241,Dani Alves,1(1),117,-,-,-,-,1.5,88.8,0.5,-,6.55
242,Sebastián Coates,2,180,-,-,1,-,0.5,81.7,3.5,-,6.55
243,Mathew Ryan,4,360,-,-,-,-,-,66.2,0.3,-,6.54
244,Marcus Thuram,0(5),148,-,2,1,-,0.2,69.2,1.6,-,6.54
245,Alireza Beiranvand,2,110,-,-,-,-,-,60.7,-,-,6.54
246,Héctor Herrera,2,161,-,-,1,-,-,85.1,3,-,6.54
247,Majid Hosseini,3,270,-,-,1,-,-,81,2,-,6.54
248,Saeid Ezatolahi,2(1),218,-,-,-,-,1,77.4,2,-,6.54
249,Emiliano Martínez,7,692,-,-,1,-,-,56.6,0.3,-,6.54
250,Timothy Castagne,3,270,-,-,-,-,-,88,0.7,-,6.53
251,Chris Mepham,3,270,-,-,1,-,-,81.8,2.3,-,6.53
252,Thorgan Hazard,1(1),106,-,-,-,-,-,76.2,-,-,6.53
253,Lisandro Martínez,2(3),301,-,-,1,-,0.2,86.3,0.6,-,6.53
254,Timothy Weah,4,320,1,-,-,-,1.3,86.9,0.5,-,6.53
255,Ismaeel Mohammad,2,175,-,1,1,-,1,79.2,2,-,6.53
256,Andreas Cornelius,1(2),91,-,-,1,-,1.7,63.6,3.7,-,6.52
257,Nahuel Molina,6(1),570,1,1,-,-,0.3,80.6,-,-,6.52
258,Jack Grealish,0(5),81,1,-,-,-,0.2,88.9,-,-,6.52
259,Memphis Depay,3(2),300,1,-,1,-,2,77.1,0.4,-,6.52
260,Roozbeh Cheshmi,1(1),58,1,-,-,-,0.5,63.6,0.5,-,6.52
261,Harry Wilson,2(1),161,-,-,-,-,0.7,80,0.3,-,6.51
262,Gareth Bale,3,226,1,-,1,-,0.7,65.3,1.3,1,6.51
263,Idrissa Gueye,3,270,-,-,2,-,1.3,92,0.7,-,6.51
264,Hiroki Sakai,1(1),121,-,-,-,-,0.5,61.3,1.5,-,6.51
265,Krystian Bielik,2(2),216,-,-,-,-,0.5,86.9,1.5,-,6.51
266,Boulaye Dia,4,321,1,-,1,-,2,76.5,1.3,-,6.51
267,Bryan Mbeumo,3,226,-,-,-,-,0.7,63,1.7,-,6.50
268,Lawrence Ati-Zigi,3,270,-,-,-,-,-,65.7,-,-,6.50
269,Przemyslaw Frankowski,3(1),241,-,-,1,-,0.3,72.3,0.3,-,6.50
270,Sebastian Szymanski,2,136,-,-,-,-,-,65.8,0.5,-,6.50
271,Rúben Dias,4,360,-,-,1,-,0.3,90.5,1.3,-,6.50
272,Marco Asensio,3(1),231,1,-,-,-,2.5,80.7,-,-,6.49
273,Eden Hazard,2(1),125,-,-,-,-,0.3,80.7,0.3,-,6.49
274,Iliman Ndiaye,2(1),137,-,1,-,-,0.7,82.8,-,-,6.49
275,Shuichi Gonda,4,391,-,-,-,-,-,56,0.3,-,6.49
276,Abdelhamid Sabiri,2(3),180,-,1,1,-,0.6,77.2,0.4,-,6.48
277,Luis Suárez,2(1),147,-,1,1,-,0.7,62.5,0.7,-,6.48
278,Lee Kang-In,1(3),146,-,1,1,-,1.3,92.3,0.3,-,6.48
279,Kamil Glik,4,360,-,-,-,-,0.8,90.8,1,-,6.48
280,Guillermo Ochoa,3,270,-,-,-,-,-,85.3,-,1,6.48
281,Nicolás Tagliafico,3(3),374,-,-,-,-,0.5,83.9,0.7,-,6.48
282,Ricardo Horta,1(2),117,1,-,-,-,1,75,-,-,6.48
283,Alidu Seidu,2,156,-,-,2,-,0.5,81,0.5,-,6.47
284,Anis Ben Slimane,2,150,-,-,-,-,0.5,71.4,2.5,-,6.47
285,Na Sang-Ho,1(1),120,-,-,-,-,0.5,78.6,1.5,-,6.47
286,Bruno Petkovic,1(5),232,1,-,1,-,0.2,53.4,1.3,-,6.47
287,Craig Goodwin,3(1),236,1,-,-,-,0.5,69.9,0.3,-,6.47
288,Osman Bukari,0(2),58,1,-,-,-,1.5,77.8,0.5,-,6.47
289,Gabriel Jesus,1(2),92,-,-,-,-,0.7,80.8,0.3,-,6.46
290,Junior Hoilett,2(1),162,-,-,1,-,1.3,84.1,-,-,6.46
291,Pedro Miguel,3,263,-,-,-,-,0.7,71,1,-,6.46
292,Mason Mount,2(2),186,-,-,-,-,1,87.1,-,-,6.46
293,Joakim Maehle,3,250,-,-,-,-,0.7,80.3,0.3,-,6.46
294,Milos Degenek,2(2),183,-,-,2,-,-,73,1.5,-,6.46
295,Raphaël Varane,6,521,-,-,-,-,0.5,89.8,0.7,-,6.46
296,Haji Wright,1(3),135,1,-,-,-,1.5,76.9,1.5,-,6.46
297,Nikola Milenkovic,3,270,-,-,2,-,1,87.5,2,-,6.46
298,Kwon Kyung-Won,1(1),91,-,-,-,-,0.5,90.7,1,-,6.46
299,Jordan Ayew,2(1),137,-,1,-,-,0.3,88.9,-,-,6.45
300,Piero Hincapié,3,270,-,-,-,-,-,85.1,1.7,-,6.45
301,Martin Hongla,2,123,-,-,-,-,0.5,83.1,0.5,-,6.45
302,Michy Batshuayi,2,153,1,-,-,-,3,66.7,0.5,-,6.45
303,Bernardo Silva,4(1),358,-,-,-,-,0.2,89.1,0.2,-,6.45
304,Kieffer Moore,2(1),225,-,-,-,-,2,64.3,3.7,-,6.45
305,Alexander Bah,0(2),46,-,-,-,-,1,73.8,2,-,6.45
306,Daichi Kamada,4,324,-,-,-,-,1.5,82.7,0.8,-,6.44
307,Moumi Ngamaleu,1(1),95,-,-,-,-,-,82.6,-,-,6.44
308,Callum Wilson,0(2),46,-,1,-,-,-,90,0.5,-,6.44
309,Ferran Torres,3(1),219,2,-,-,-,1,76.3,-,-,6.44
310,Mathias Jensen,1(1),84,-,-,1,-,1,82.3,0.5,-,6.44
311,Vitinha,1(2),118,-,-,1,-,0.7,94.2,-,-,6.44
312,Matthijs de Ligt,1(1),91,-,-,1,-,-,91.1,2.5,-,6.44
313,Jackson Irvine,4,355,-,-,2,-,0.8,81.6,2.3,-,6.43
314,Nemanja Maksimovic,1(2),120,-,-,-,-,-,87.3,-,-,6.43
315,Salis Abdul Samed,3,252,-,-,-,-,0.3,90.8,-,-,6.43
316,Yannick Carrasco,2,118,-,-,1,-,2,90.5,-,-,6.43
317,Rubén Vargas,4,289,-,1,1,-,0.8,72.9,0.8,-,6.43
318,Collins Fai,3,270,-,-,2,-,0.3,70.6,0.3,-,6.43
319,Pape Gueye,1(2),152,-,-,-,-,1.3,73.3,1.7,-,6.43
320,Feras Al,"22,",Forward,3,269,-,1,-,-,0.7,70,1.7
321,Bartosz Bereszynski,4,342,-,-,1,-,-,77.9,1.3,-,6.42
322,Ahmad Noorollahi,3,226,-,-,-,-,1.7,70,0.3,-,6.42
323,Connor Roberts,2(1),201,-,-,-,-,-,81.5,0.3,-,6.42
324,Yahya Attiat-Allah,2(4),318,-,1,-,-,0.3,76,-,-,6.41
325,Atiba Hutchinson,2(1),162,-,-,-,-,0.7,89.3,1.7,-,6.40
326,Kim Min-Jae,3,270,-,-,-,-,0.7,88.4,3.3,-,6.40
327,Josh Sargent,2(1),158,-,-,-,-,1.3,90.6,1,-,6.40
328,Moisés Caicedo,3,270,1,-,1,-,1,82.4,0.3,-,6.40
329,Marten de Roon,3(2),187,-,-,-,-,-,82.1,0.8,-,6.40
330,Romario Ibarra,1(1),69,-,-,-,-,1,71.4,-,-,6.40
331,Hidemasa Morita,3,286,-,-,-,-,1,83,1.7,-,6.39
332,Selim Amallah,4(3),409,-,-,1,-,0.3,76.5,0.3,-,6.39
333,Antony,1(3),171,-,-,-,-,1.5,86.9,0.3,-,6.39
334,Mehdi Torabi,0(3),59,-,-,-,-,0.7,82.9,-,-,6.39
335,Thomas Müller,3,203,-,-,-,-,1,73.9,0.3,-,6.39
336,Nicolas Nkoulou,2,180,-,-,1,-,1.5,87.8,1,-,6.39
337,Iñaki Williams,3,252,-,1,1,-,0.7,70.7,0.7,-,6.38
338,Axel Disasi,1(2),92,-,-,-,-,0.3,73.3,1.3,-,6.38
339,Jae-Sung Lee,3,214,-,-,-,-,0.3,87.5,1,-,6.38
340,Son Jun-Ho,0(3),70,-,-,-,-,-,93.2,-,-,6.38
341,Matías Vecino,2(1),196,-,-,-,-,0.3,72.4,1,-,6.38
342,Neco Williams,3,205,-,-,-,-,1,65.7,0.7,-,6.38
343,Marko Livaja,3(3),243,1,1,-,-,1,61.4,0.7,-,6.38
